Name,Date,Time,Status,Latitude,Longitude,WindSpeed,Ocean
HEIDI,19671019,1200, TD,20.5N,54.0W,25,Atlantic
OLAF,19850822,0, TD,12.9N,102.2W,25,Pacific
TINA,19920917,1200, TD,10.4N,98.5W,25,Pacific
EMMY,19760820,1200, TD,14.0N,48.0W,20,Atlantic
FOUR,20061007,1800, DB,11.3N,159.0W,25,Pacific
FLOSSIE,19780904,0, TD,12.0N,39.0W,25,Atlantic
GLORIA,19760926,1200, TD,23.0N,58.0W,20,Atlantic
MARIA,20050901,1200, TD,18.8N,45.5W,30,Atlantic
GILBERT,19880908,1800, TD,12.0N,54.0W,25,Atlantic
FELICE,19700912,0, TD,25.5N,77.5W,25,Atlantic
NICOLE,19981124,0, TD,28.3N,28.0W,30,Atlantic
OLIVE,19740822,0, TD,11.7N,147.7W,25,Pacific
OPHELIA,20050906,600, TD,25.8N,78.6W,25,Atlantic
FLORA,19550902,600, TS,19.0N,31.1W,35,Atlantic
ADELE,19660620,0, TD,14.3N,100.2W,25,Pacific
JULIO,19840815,0, TD,14.5N,98.8W,25,Pacific
UNNAMED,18510625,0, HU,28.0N,94.8W,80,Atlantic
ISIDORE,19840925,1200, TD,23.4N,73.0W,30,Atlantic
FRANKLIN,20050721,1800, TD,25.0N,75.0W,30,Atlantic
BABE,19770903,600, SD,26.8N,86.3W,25,Atlantic
FRAN,19731008,1800, SD,30.0N,65.8W,30,Atlantic
WENE,20000816,0, TS,34.4N,178.5W,45,Pacific
RAYMOND,19831008,600, TD,12.4N,104.4W,30,Pacific
ARLENE,19590528,600, TD,23.3N,86.5W,25,Atlantic
GORDON,19941108,1200, TD,11.9N,82.3W,25,Atlantic
RICHARD,20101019,1800, LO,17.2N,83.4W,30,Atlantic
DEBBY,19820913,1200, TD,19.8N,69.5W,30,Atlantic
GLENDA,19630719,1200, HU,14.3N,116.0W,75,Pacific
FERN,19671001,1800, TD,20.3N,93.0W,25,Atlantic
LALA,19840823,1800, TD,11.1N,130.3W,25,Pacific
FLOSSY,19560920,1800, TD,18.0N,86.5W,25,Atlantic
TANYA,19951027,0, TD,24.6N,59.2W,30,Atlantic
ALEX,19980727,1200, TD,11.3N,25.4W,25,Atlantic
SHARY,20101028,1800, TD,25.6N,61.2W,30,Atlantic
BORIS,19840528,1800, TD,11.6N,94.0W,30,Pacific
PAULINE,19611003,0, TS,21.3N,137.9W,45,Pacific
GENEVIEVE,19840707,600, TD,10.5N,95.5W,30,Pacific
NEKI,20091018,1800, TD,8.4N,156.2W,25,Pacific
KENNA,19840816,1800, TD,12.4N,134.3W,30,Pacific
SEYMOUR,19920917,1200, TD,16.9N,107.7W,30,Pacific
IVA,19610609,1200, HU,13.5N,100.0W,75,Pacific
ESTHER,19570916,0, TD,20.8N,93.0W,30,Atlantic
IGNACIO,19791023,1800, TD,11.7N,95.3W,25,Pacific
JANICE,19581004,1200, TD,18.5N,81.1W,30,Atlantic
PATRICIA,19701004,0, TD,12.1N,95.4W,25,Pacific
RINA,20111022,0, LO,12.7N,81.0W,25,Atlantic
OMAR,20081013,600, TD,15.4N,69.0W,25,Atlantic
JUDITH,19591014,600, TD,14.0N,73.5W,30,Atlantic
CHRISTINE,19730825,1200, TD,11.0N,14.0W,30,Atlantic
EILEEN,19660823,0, TD,16.2N,111.2W,25,Pacific
WALDO,19851007,0, TD,15.0N,106.1W,25,Pacific
BONNIE,19800814,0, TD,12.7N,35.5W,25,Atlantic
ILEANA,19940810,1200, TD,14.5N,107.5W,25,Pacific
SIMON,19841031,0, TD,13.1N,98.4W,25,Pacific
KLAUS,19841105,1800, TD,14.7N,68.8W,15,Atlantic
ALLEN,19800731,1200, DB,11.0N,30.0W,25,Atlantic
KATHERINE,19730929,1200, TD,11.5N,109.8W,25,Pacific
LILLIAN,19630924,1200, TS,16.9N,102.7W,45,Pacific
JOSEPHINE,19841007,600, SD,24.1N,68.9W,25,Atlantic
IDA,20091104,600, TD,11.0N,81.3W,30,Atlantic
DOUGLAS,19840625,0, TD,10.3N,106.5W,25,Pacific
OCTAVE,19830927,1800, TD,11.8N,118.3W,25,Pacific
JENNY,19611101,1200, TD,17.0N,62.0W,30,Atlantic
KIRK,20120828,1800, TD,23.9N,43.4W,30,Atlantic
FELIX,19890826,0, TD,16.8N,21.0W,25,Atlantic
IRMA,19781002,1200, SD,31.7N,31.5W,30,Atlantic
IONE 1,19700724,0, TD,18.0N,106.8W,25,Pacific
WINIFRED,19921006,1200, TD,11.0N,97.0W,25,Pacific
HANNA,20020912,0, TD,26.3N,86.6W,30,Atlantic
ODILE,19840917,1800, TD,14.3N,101.5W,30,Pacific
ALFA,19730730,1200, SD,32.6N,74.1W,25,Atlantic
GRACIE,19590920,1200, TD,19.8N,68.3W,25,Atlantic
LORRAINE,19661004,0, TD,16.0N,103.0W,25,Pacific
MINDY,20031010,1800, TS,19.1N,68.8W,40,Atlantic
LENNY,19991113,1800, TD,16.7N,81.6W,30,Atlantic
VIRGIL,19921001,600, TD,13.5N,100.4W,25,Pacific
ANDREA,20070506,1200, EX,35.5N,74.0W,35,Atlantic
