tweet_id,date,username,num_liked,tweet_text,is_retweet
1467930083,Mon Apr 06 22:51:49 PDT 2009,USERID_6,6650,@nomadicmatt mine is 1/10  how do you get it up?,False
1467930157,Mon Apr 06 22:51:50 PDT 2009,USERID_7,7410,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! ,False
1467930220,Mon Apr 06 22:51:51 PDT 2009,USERID_2,4770,"@Appomattox_News Thank you! However, I hate to be on the same list that includes 2 convicts.  ",True
1467930309,Mon Apr 06 22:51:52 PDT 2009,USERID_9,4910,"Heading to Altrincham, again! Out of hours install ",True
1467930341,Mon Apr 06 22:51:53 PDT 2009,USERID_10,1990,MORNING!!! Good im bloody knackered!!! Work is not for me today  HELPPP!!!! xxx,True
1467931027,Mon Apr 06 22:52:07 PDT 2009,USERID_5,1699,@lauredhel  What happened?,True
1467931070,Mon Apr 06 22:52:06 PDT 2009,USERID_8,910,"&quot;On popular music&quot; by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue ",True
1467931396,Mon Apr 06 22:52:11 PDT 2009,USERID_9,2496,"http://twitpic.com/2y36e - cant see the flowers falling  i dont have a camera, just my cellphone",False
1467931501,Mon Apr 06 22:52:13 PDT 2009,USERID_5,5807,"We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?",True
1467931736,Mon Apr 06 22:52:19 PDT 2009,USERID_6,2449,@brian_armstrong What a pity YouTube is currently blocked in China.  I can't see the vids. ,True
1467931839,Mon Apr 06 22:52:18 PDT 2009,USERID_6,1915,@margaretcho what happened to your show it was the hightlight of my life ,True
1467931983,Mon Apr 06 22:52:21 PDT 2009,USERID_7,9292,This is the best leather sofa in the world!  It's in the office though which means I'm still here working ,False
1467932117,Mon Apr 06 22:52:23 PDT 2009,USERID_5,9188,Still 3 more days until my Internet gets uncapped ,False
1467932208,Mon Apr 06 22:52:25 PDT 2009,USERID_7,9169,"If he doesn't get better in a few days, he could have something lodged in his belly ",True
1467932372,Mon Apr 06 22:52:27 PDT 2009,USERID_7,9065,i Love my atekinzz so much. &amp;&amp; i soo miss her.. ,False
1467932549,Mon Apr 06 22:52:31 PDT 2009,USERID_6,6966,I wanna sneak into the zoo and play with the kitties ,False
1467932979,Mon Apr 06 22:52:38 PDT 2009,USERID_1,6333,@lolitariot oh no  hope you're not getting sick too!,True
