nm0000001,Fred Astaire
nm0000004,John Belushi
nm0000007,Humphrey Bogart
nm0000008,Marlon Brando
nm0000009,Richard Burton
nm0000010,James Cagney
nm0000011,Gary Cooper
nm0000018,Kirk Douglas
nm0000019,Federico Fellini
nm0000020,Henry Fonda
nm0000022,Clark Gable
nm0000024,John Gielgud
nm0000026,Cary Grant
nm0000032,Charlton Heston
nm0000033,Alfred Hitchcock
nm0000034,William Holden
nm0000036,Buster Keaton
nm0000037,Gene Kelly
nm0000040,Stanley Kubrick
nm0000042,Alan Ladd
nm0000044,Burt Lancaster
nm0000048,Peter Lorre
nm0000051,James Mason
nm0000053,Robert Mitchum
nm0000056,Paul Newman
nm0000057,David Niven
nm0000059,Laurence Olivier
nm0000060,Gregory Peck
nm0000061,Tyrone Power
nm0000063,Anthony Quinn
nm0000064,Edward G. Robinson
nm0000068,Randolph Scott
nm0000069,Frank Sinatra
nm0000071,James Stewart
nm0000075,Spencer Tracy
nm0000078,John Wayne
nm0000080,Orson Welles
nm0000091,Gérard Pirès
nm0000093,Brad Pitt
nm0000095,Woody Allen
nm0000101,Dan Aykroyd
nm0000102,Kevin Bacon
nm0000104,Antonio Banderas
nm0000108,Luc Besson
nm0000110,Kenneth Branagh
nm0000111,Matthew Broderick
nm0000112,Pierce Brosnan
nm0000114,Steve Buscemi
nm0000115,Nicolas Cage
nm0000118,John Carpenter
nm0000122,Charles Chaplin
nm0000123,George Clooney
nm0000125,Sean Connery
nm0000126,Kevin Costner
nm0000127,Wes Craven
nm0000129,Tom Cruise
nm0000131,John Cusack
nm0000134,Robert De Niro
nm0000138,Leonardo DiCaprio
nm0000140,Michael Douglas
nm0000141,David Duchovny
nm0000142,Clint Eastwood
nm0000144,Cary Elwes
nm0000151,Morgan Freeman
nm0000152,Richard Gere
nm0000154,Mel Gibson
nm0000158,Tom Hanks
nm0000163,Dustin Hoffman
nm0000164,Anthony Hopkins
nm0000165,Ron Howard
nm0000168,Samuel L. Jackson
nm0000169,Tommy Lee Jones
nm0000172,Harvey Keitel
nm0000174,Val Kilmer
nm0000177,Kevin Kline
nm0000184,George Lucas
nm0000188,Steve Martin
nm0000190,Matthew McConaughey
nm0000191,Ewan McGregor
nm0000195,Bill Murray
nm0000196,Mike Myers
nm0000197,Jack Nicholson
nm0000198,Gary Oldman
nm0000199,Al Pacino
nm0000200,Bill Paxton
nm0000206,Keanu Reeves
nm0000209,Tim Robbins
nm0000216,Arnold Schwarzenegger
nm0000217,Martin Scorsese
nm0000219,Steven Seagal
nm0000225,Christian Slater
nm0000226,Will Smith
nm0000228,Kevin Spacey
nm0000229,Steven Spielberg
nm0000230,Sylvester Stallone
nm0000231,Oliver Stone
nm0000233,Quentin Tarantino
nm0000237,John Travolta
nm0000242,Mark Wahlberg
nm0000245,Robin Williams
nm0000246,Bruce Willis
nm0000249,James Woods
nm0000257,Alan Alda
nm0000264,Pedro Almodóvar
nm0000265,Robert Altman
nm0000273,Alan Arkin
nm0000276,Sean Astin
nm0000277,Richard Attenborough
nm0000279,Hank Azaria
nm0000284,Adam Baldwin
nm0000285,Alec Baldwin
nm0000286,Stephen Baldwin
nm0000287,William Baldwin
nm0000288,Christian Bale
nm0000297,Tom Berenger
nm0000306,Brian Blessed
nm0000308,Ernest Borgnine
nm0000310,Bruce Boxleitner
nm0000313,Jeff Bridges
nm0000314,Charles Bronson
nm0000316,Mel Brooks
