title,year,rating,directors,actors,genres
tt1931435,2013,5.6,nm0951698,nm0000134,"Comedy,Drama,Romance"
tt0242252,2001,6.1,nm0796124,"nm0048932,nm0000596,nm0004778","Drama,History,Romance"
tt0066811,1971,6.0,nm0125111,"nm0000621,nm0283499,nm0604702,nm0185281","Comedy,Family"
tt1691920,2011,6.0,nm0671210,"nm0005048,nm0000507,nm0005315,nm1605114",Drama
tt0224120,2000,4.9,nm0943044,nm0001299,"Drama,Mystery,Thriller"
tt0034742,1942,6.8,nm0588183,"nm0000078,nm0140865,nm0446769","Action,Drama,Romance"
tt0033832,1941,6.8,nm0782707,"nm0832011,nm0001682","Comedy,Romance"
tt2404311,2013,6.3,nm0000108,"nm0000134,nm2649720","Comedy,Crime,Thriller"
tt0040720,1948,7.0,nm0287988,"nm0000034,nm0000053,nm0336633","Adventure,Western"
tt0040724,1948,7.8,"nm0744504,nm0001328","nm0000078,nm0001050,nm0000974","Action,Adventure,Romance"
tt5247026,2017,5.7,nm1037451,"nm0148418,nm6112290","Comedy,Drama"
tt0051207,1956,7.5,nm0000033,"nm0000020,nm0703033,nm0831905",Drama
tt0091767,1986,4.1,"nm0005544,nm0918424","nm0430234,nm0671992,nm0335523",Comedy
tt0101761,1991,7.2,nm0000231,"nm0000174,nm0001492,nm0001844","Drama,Music"
tt0050963,1957,6.4,nm0054374,"nm0000068,nm0185883",Western
tt0043120,1950,6.2,nm0232902,"nm0804026,nm0000748","Comedy,Crime,Romance"
tt0026908,1935,5.4,nm0102908,"nm0408937,nm0000078,nm0371025,nm0556813",Western
tt2433190,2012,6.0,"nm3952190,nm3014420","nm3904326,nm5304921,nm4223773,nm5333273",Drama
tt0046035,1953,6.5,nm0091430,"nm0001229,nm0932629,nm0639385",Western
tt0030256,1938,5.6,"nm0002030,nm0727999,nm0517597","nm0000020,nm0550701",Romance
tt0068245,1972,7.0,nm0000914,"nm0000313,nm0113077,nm0204824,nm0399663","Adventure,Drama,Western"
tt5917230,2016,7.3,nm0265422,"nm0531095,nm1406730",Drama
tt0053043,1959,4.8,nm0425913,"nm0000020,nm0200488,nm0566584",Comedy
tt0109816,1994,5.8,nm0565292,"nm0001457,nm0772428,nm0000131",Comedy
tt0455152,2005,4.5,nm0691061,"nm1341362,nm0724604,nm3366074",Thriller
tt0076847,1977,6.2,nm0500988,"nm0001001,nm0404091",Western
tt0027979,1936,6.8,nm0782682,"nm0000020,nm0125325",Comedy
tt0027977,1936,8.5,nm0000122,"nm0305087,nm0000122,nm0074788,nm0761866,nm0174682,nm0003424,nm0090008","Comedy,Drama,Family"
tt0066327,1970,7.8,"nm0060072,nm0710230","nm0000001,nm0001682,nm0943978,nm0293659","Adventure,Animation,Comedy"
tt1272886,2012,6.1,nm0959774,"nm0524240,nm0001780,nm0001001","Comedy,Crime,Drama"
tt0058743,1964,7.0,nm0496746,"nm0000056,nm0000053,nm0001509","Comedy,Romance"
tt0167240,1985,6.1,nm0185173,"nm0942642,nm0289030,nm0000885","Comedy,Family"
tt0253798,2001,6.3,"nm0540139,nm0540148","nm0018416,nm0219292","Comedy,Sport"
tt0165832,2002,7.7,nm0301826,"nm0005188,nm0000198,nm0000621,nm0249378","Adventure,Comedy,Drama"
tt0077360,1978,6.3,nm0001587,"nm0001001,nm0001673,nm0342732","Drama,Romance,Western"
tt1034331,2008,6.0,nm0000816,"nm0000134,nm0000199,nm1265067","Crime,Drama,Mystery"
tt0104652,1992,7.8,nm0594503,"nm0605797,nm1185314,nm0436639","Adventure,Animation,Comedy"
tt0038241,1945,6.2,nm0453245,"nm0000053,nm0552955,nm0356159",Western
tt0039110,1946,6.6,nm0503777,"nm0000078,nm0214529","Comedy,Romance"
tt0069866,1973,6.1,nm0568546,"nm0534045,nm0604702,nm0000621","Comedy,Family,Fantasy"
tt0091957,1986,4.0,nm0379391,"nm0572279,nm0042884,nm0047264","Action,Crime,Drama"
tt0037593,1945,6.1,nm0258015,"nm0000068,nm0000063","Adventure,Drama,War"
tt0024124,1933,5.7,nm0926171,"nm0000078,nm0055275,nm0290066","Comedy,Romance"
tt0040946,1948,6.7,nm0524995,"nm0000078,nm0949574","Action,Adventure,Romance"
tt0050629,1957,6.1,nm0368871,"nm0000078,nm0106387,nm0441069","Adventure,Drama"
tt1836926,2012,4.0,nm1018505,"nm0000616,nm0267279,nm3131350","Crime,Thriller"
tt0065566,1969,6.1,nm0125111,"nm0000621,nm0003110,nm0283499,nm0769974","Comedy,Family,Sci-Fi"
tt0099685,1990,8.7,nm0000217,"nm0000134,nm0000501,nm0000582","Crime,Drama"
tt0088794,1985,7.2,nm0390822,"nm0000131,nm0001773,nm0805164","Comedy,Romance"
tt0095225,1988,7.7,nm0730500,"nm0364905,nm0000885",Drama
tt0025954,1934,5.9,nm0059106,"nm0000068,nm0496889,nm0089524","Action,Adventure,Comedy"
tt0038160,1945,7.3,"nm0000406,nm0599910","nm0599910,nm0000078,nm0392442","Drama,War"
tt0038163,1945,6.4,nm0920074,"nm0000891,nm0237025,nm0322299","Adventure,Drama"
tt0070630,1973,5.9,nm0625379,"nm0001229,nm0122798,nm0798855",Western
tt0025373,1934,5.1,nm0102908,"nm0210016,nm0000078,nm0371025,nm0734340,nm0932912,nm0134831","Romance,Western"
tt0062808,1969,4.6,nm0001238,"nm0943751,nm0001695","Action,Adventure"
tt0054331,1960,7.9,nm0000040,"nm0000018,nm0000059,nm0001452","Adventure,Drama"
tt0098480,1989,4.4,nm0169438,"nm0795407,nm0000885","Action,Adventure,Sci-Fi"
tt2576852,2013,8.1,nm0847223,"nm0001001,nm0005188","Adventure,Animation,Drama"
tt0012349,1921,8.3,nm0000122,"nm0088471,nm0000122,nm0001067,nm0588033,nm0042317,nm0074788,nm0080930","Comedy,Drama,Family"
tt0036092,1943,6.6,nm0782682,"nm0000078,nm0935415,nm0799014","Comedy,Romance,Western"
tt0469151,2007,5.4,nm1975499,"nm0233079,nm0001166,nm1672703",Drama
tt0108442,1993,6.0,nm0006889,"nm0000598,nm0001804","Comedy,Crime"
tt4296254,2015,4.1,nm1304669,"nm5594209,nm4415183,nm0001001",Drama
tt0046239,1953,6.2,nm0268513,"nm0001791,nm0444476,nm0000063","Romance,Western"
tt0111001,1994,5.8,nm0000570,"nm0000164,nm0000111,nm0000131","Comedy,Drama"
tt0040643,1948,7.1,nm0268513,"nm0000064,nm0526184","Drama,Thriller"
tt0419781,2005,8.8,nm0549283,"nm0000616,nm0931736,nm0736263","Mystery,Thriller"
tt0037930,1945,7.9,nm0289297,"nm0329832,nm0355653,nm0070827,nm0242001",Comedy
tt0087843,1984,8.4,nm0001466,"nm0000134,nm0000249,nm0001852","Crime,Drama"
tt0084579,1982,7.4,nm0695333,"nm0000063,nm0788829",Drama
tt0446683,2005,6.3,nm0522181,"nm1124453,nm0154914,nm0000430","Mystery,Thriller"
tt5566660,2016,6.2,nm0367524,"nm1534707,nm0762560,nm0144307","Comedy,Romance"
tt0227445,2001,6.8,nm0000568,"nm0000134,nm0001570,nm0000008","Crime,Drama,Thriller"
tt0046375,1953,6.0,nm0211964,"nm0000068,nm0534317","War,Western"
tt0046378,1953,6.8,nm0101504,nm0605059,Drama
tt0034798,1942,7.1,nm0374702,"nm0000042,nm0002046","Crime,Drama"
tt0096935,1989,5.8,nm0004654,"nm0001696,nm0491590,nm0000885","Drama,Thriller"
tt0306806,2002,5.1,nm0382776,"nm0000800,nm0513598","Action,Crime,Drama"
