nm0000020,Henry Fonda
nm0200488,Cesare Danova
nm0566584,Myron McCormick
nm0005188,James Marsden
nm0000198,Gary Oldman
nm0000621,Kurt Russell
nm0249378,Matthew Edison
nm0000053,Robert Mitchum
nm0000018,Kirk Douglas
nm0000078,John Wayne
nm0752813,Robert Ryan
nm0852279,Don Taylor
tt0053043,The Man Who Understood Women
tt0165832,Interstate 60: Episodes of the Road
tt0039689,Out of the Past
tt0043547,Flying Leathernecks
nm0425913,Nunnally Johnson
nm0301826,Bob Gale
nm0869664,Jacques Tourneur
nm0712947,Nicholas Ray
